lat,lon,name,admin1,admin2,cc
32.3726,66.17708,Zamtō Kêlay,,,AF
37.46572,69.61131,Yangī Qal‘ah,,,AF
34.73525,66.97379,Bāzār-e Yakāwlang,,,AF
32.93742,68.64622,Yaḩyá Khēl,,,AF
32.25122,63.85553,Wāshēr,,,AF
33.68847,68.40205,Tōrmay,,,AF
33.97509,63.72868,Tūlak,,,AF
33.69032,63.86361,Tītān,,,AF
34.59431,61.26895,Tīr Pul,,,AF
33.52118,64.42116,Taywarah,,,AF
36.88168,70.27674,Bāzār-e Tashkān,,,AF
32.62998,65.87806,Tarinkot,,,AF
36.73605,69.53451,Taloqan,,,AF
35.69941,66.06164,Tagāw-Bāy,,,AF
34.85501,69.64917,Tagāb,,,AF
32.24139,62.94936,Markaz-e Ḩukūmat-e Sulţān-e Bakwāh,,,AF
31.00575,66.40001,Spīn Bōldak,,,AF
33.20204,69.5152,Spērah,,,AF
36.09916,66.20823,Sōzmah Qal‘ah,,,AF
35.00553,68.85578,Siyāhgird,,,AF
34.57169,70.58859,S̲h̲ēwah,,,AF
33.30294,62.1474,Shīnḏanḏ,,,AF
33.28744,69.91283,Shaykh Amīr Kêlay,,,AF
35.03975,69.00685,Qāshqāl,,,AF
36.66757,65.7529,Shibirghān,,,AF
33.42386,69.37684,Shwāk,,,AF
31.80347,66.32376,Shahr-e Şafā,,,AF
36.97984,70.73928,Shahrān,,,AF
34.10737,64.3052,Shahrak,,,AF
32.52154,67.41315,‘Alāqahdārī Shāh Jōy,,,AF
33.69056,69.36881,Wulêswālī Sayyid Karam,,,AF
34.00037,68.71346,Markaz-e Sayyidābād,,,AF
36.13529,65.8297,Şayād,,,AF
35.02298,69.35112,Sidqābād,,,AF
32.56521,67.03324,Sāyagaz,,,AF
33.50998,65.67632,Sar-e Tayghān,,,AF
34.58962,69.76005,Sarōbī,,,AF
34.79023,71.10962,Sar Kāṉī,,,AF
32.98333,67.96517,Sarfirāz Kalā,,,AF
36.21544,65.93249,Sar-e Pul,,,AF
35.70177,65.23055,Sar Chakān,,,AF
32.07275,64.8359,Sangīn,,,AF
33.1396,67.44046,Sang-e Māshah,,,AF
35.84972,66.43694,Sang-e Chārak,,,AF
35.248,63.0044,Sang Atesh,,,AF
34.40744,70.63937,Sangar Sarāy,,,AF
36.26468,68.01551,Aībak,,,AF
35.31999,67.63387,Rū-ye Sang,,,AF
30.15,62.6,Rūdbār,,,AF
37.12604,69.83045,Rustāq,,,AF
34.79951,62.13917,Rabāţ-e Sangī-ye Pā’īn,,,AF
33.52234,68.6264,Rāmak,,,AF
36.91939,65.0649,Qurghān,,,AF
34.06183,66.27801,Quchanghī,,,AF
35.68747,64.29318,Qaīşār,,,AF
37.41853,66.04358,Qarqīn,,,AF
34.55402,70.24292,Qarghah’ī,,,AF
37.03999,66.78891,Qarchī Gak,,,AF
37.21959,68.7802,Qarāwul,,,AF
34.94023,61.77589,Qarah Bāgh,,,AF
33.19801,68.10798,Qarah Bāgh,,,AF
34.98735,63.12891,Qala i Naw,,,AF
38.04119,70.47298,Qal‘ah-ye Kūf,,,AF
32.61591,63.66681,Qal‘ah-ye Kuhnah,,,AF
35.54729,65.5676,Qal‘ah-ye Shahr,,,AF
32.10575,66.90833,Qalāt,,,AF
34.64921,70.5914,Qal‘ah-ye Shāhī,,,AF
34.8085,63.43003,Qādis,,,AF
35.42064,70.92261,Pārūn,,,AF
35.94458,68.71512,Pul-e Khumrī,,,AF
33.99529,69.02274,Pul-e ‘Alam,,,AF
35.76664,65.76486,Pasnay,,,AF
31.5572,65.4343,Pāshmūl,,,AF
33.68956,64.8531,Pasāband,,,AF
34.38795,67.02327,Panjāb,,,AF
34.58787,68.95091,Paghmān,,,AF
32.90029,68.79627,Ōmnah,,,AF
34.36972,63.17639,Ōbêh,,,AF
32.92775,66.63253,Uruzgān,,,AF
32.9515,69.1828,Urgun,,,AF
38.4435,70.80413,Nūsay,,,AF
34.61341,70.76498,Nūrgal,,,AF
32.40315,64.46959,Now Zād,,,AF
33.72178,66.13023,Nīlī,,,AF
34.73414,66.95292,Nayak,,,AF
32.5723,66.77403,Nāyak,,,AF
35.62398,70.00511,Now Dahānak,,,AF
33.89793,67.95652,Ōkak,,,AF
35.21995,71.52284,Nāṟay,,,AF
34.76009,71.04738,Narang,,,AF
33.18934,69.27179,Nīkêh,,,AF
36.0649,69.13343,Nahrīn,,,AF
31.64286,64.23982,Ḩukūmat-e Nād ‘Alī,,,AF
32.44565,64.74486,Mūsá Qal‘ah,,,AF
35.58408,63.32886,Bala Murghab,,,AF
32.82009,67.76934,Muqêr,,,AF
34.21422,69.10026,Muḩammad Āghah Wuluswālī,,,AF
32.17635,66.51271,Mīzān ‘Alāqahdārī,,,AF
34.74999,69.11899,Mīr Bachah Kōṯ,,,AF
34.22037,68.31259,Mīrān,,,AF
30.43624,61.8383,Mīrābād,,,AF
35.92139,64.78361,Maymana,,,AF
33.64916,69.7812,Maīdān Khūlah,,,AF
37.0279,66.12817,Mingajik,,,AF
34.67139,70.20944,Mehtar Lām,,,AF
36.70904,67.11087,Mazār-e Sharīf,,,AF
38.40856,71.03839,Māymay,,,AF
33.24001,68.8663,Mutā Khān,,,AF
36.81665,70.10211,Mashhad,,,AF
36.99252,66.29654,Mardīān,,,AF
35.28403,70.17017,Mandōl,,,AF
34.24494,69.9968,Māmā Khēl,,,AF
31.59382,64.37161,Lashkar Gāh,,,AF
31.71382,61.62272,Lāsh-e Juwayn,,,AF
35.48936,66.66409,Larkird,,,AF
34.50141,66.27997,La‘l,,,AF
33.29565,61.95221,Kushk,,,AF
31.46404,62.69955,Rāẕay Balochi,,,AF
34.10319,70.46073,Kōṯowāl,,,AF
34.8711,62.54762,Kushk-e Kuhnah,,,AF
36.02866,70.77258,Kuran wa Munjan,,,AF
36.72895,68.857,Kunduz,,,AF
33.99916,69.21582,Khōshī,,,AF
32.68567,68.23801,Khōshāmand,,,AF
37.06588,69.42126,Khwājah Ghār,,,AF
36.82881,65.62432,Khwājah Dū Kōh,,,AF
37.88965,70.21875,Deh Khwāhān,,,AF
33.4948,70.00605,Khulbisāt,,,AF
31.56267,66.5814,Khūgyāṉī,,,AF
33.33951,69.92041,Khōst,,,AF
36.69736,67.69826,Khulm,,,AF
35.17835,67.68758,Khudāydād Khēl,,,AF
35.58908,68.90093,Khinjān,,,AF
35.42898,69.73482,Khinj,,,AF
31.52919,62.79055,Khāsh,,,AF
30.5488,63.7888,Khān Neshīn,,,AF
36.62587,69.53695,Khānaqāh,,,AF
37.00108,65.22392,Chahār Bāgh,,,AF
36.95127,72.318,Khandūd,,,AF
36.86279,66.16656,Khānaqāh,,,AF
36.68304,69.11279,Khanabad,,,AF
